RIDRETH3,FSDHH,behavior,frequency
1,Full,freq1,0.296969696969697
1,Full,freq2,0.17575757575757575
1,Full,freq3,0.06464646464646465
1,Full,freq4,0.022222222222222223
1,Full,freq5,0.03838383838383838
1,Full,freq6,0.00404040404040404
1,Full,freq7,0.2606060606060606
1,Full,freq8,0.11313131313131314
1,Marginal,freq1,0.32195121951219513
1,Marginal,freq2,0.23414634146341465
1,Marginal,freq3,0.12195121951219512
1,Marginal,freq4,0.024390243902439025
1,Marginal,freq5,0.04878048780487805
1,Marginal,freq6,0.004878048780487805
1,Marginal,freq7,0.2731707317073171
1,Marginal,freq8,0.12682926829268293
1,Low,freq1,0.29069767441860467
1,Low,freq2,0.19767441860465115
1,Low,freq3,0.08914728682170543
1,Low,freq4,0.011627906976744186
1,Low,freq5,0.03875968992248062
1,Low,freq6,0.003875968992248062
1,Low,freq7,0.29457364341085274
1,Low,freq8,0.10852713178294573
1,Very Low,freq1,0.24242424242424243
1,Very Low,freq2,0.13636363636363635
1,Very Low,freq3,0.09090909090909091
1,Very Low,freq4,0
1,Very Low,freq5,0.015151515151515152
1,Very Low,freq6,0
1,Very Low,freq7,0.1893939393939394
1,Very Low,freq8,0.08333333333333333
1,NA,freq1,0.1702127659574468
1,NA,freq2,0.1702127659574468
1,NA,freq3,0.02127659574468085
1,NA,freq4,0
1,NA,freq5,0.0425531914893617
1,NA,freq6,0
1,NA,freq7,0.23404255319148937
1,NA,freq8,0.1276595744680851
2,Full,freq1,0.268733850129199
2,Full,freq2,0.1834625322997416
2,Full,freq3,0.06201550387596899
2,Full,freq4,0.028423772609819122
2,Full,freq5,0.015503875968992248
2,Full,freq6,0.002583979328165375
2,Full,freq7,0.28165374677002586
2,Full,freq8,0.1731266149870801
2,Marginal,freq1,0.22900763358778625
2,Marginal,freq2,0.16030534351145037
2,Marginal,freq3,0.08396946564885496
2,Marginal,freq4,0.007633587786259542
2,Marginal,freq5,0.022900763358778626
2,Marginal,freq6,0.015267175572519083
2,Marginal,freq7,0.3053435114503817
2,Marginal,freq8,0.12213740458015267
2,Low,freq1,0.29213483146067415
2,Low,freq2,0.20224719101123595
2,Low,freq3,0.07303370786516854
2,Low,freq4,0.033707865168539325
2,Low,freq5,0.028089887640449437
2,Low,freq6,0.011235955056179775
2,Low,freq7,0.24719101123595505
2,Low,freq8,0.08426966292134831
2,Very Low,freq1,0.313953488372093
2,Very Low,freq2,0.22093023255813954
2,Very Low,freq3,0.10465116279069768
2,Very Low,freq4,0
2,Very Low,freq5,0.06976744186046512
2,Very Low,freq6,0.011627906976744186
2,Very Low,freq7,0.2441860465116279
2,Very Low,freq8,0.18604651162790697
2,NA,freq1,0.2692307692307692
2,NA,freq2,0.1346153846153846
2,NA,freq3,0.057692307692307696
2,NA,freq4,0
2,NA,freq5,0
2,NA,freq6,0.019230769230769232
2,NA,freq7,0.19230769230769232
2,NA,freq8,0.09615384615384616
3,Full,freq1,0.2940761636107193
3,Full,freq2,0.12623413258110014
3,Full,freq3,0.07475317348377997
3,Full,freq4,0.020451339915373765
3,Full,freq5,0.02609308885754584
3,Full,freq6,0.0021156558533145277
3,Full,freq7,0.22355430183356842
3,Full,freq8,0.15585331452750353
3,Marginal,freq1,0.3298429319371728
3,Marginal,freq2,0.12041884816753927
3,Marginal,freq3,0.09947643979057591
3,Marginal,freq4,0.041884816753926704
3,Marginal,freq5,0.03664921465968586
3,Marginal,freq6,0
3,Marginal,freq7,0.27225130890052357
3,Marginal,freq8,0.15706806282722513
3,Low,freq1,0.335
3,Low,freq2,0.125
3,Low,freq3,0.11
3,Low,freq4,0.025
3,Low,freq5,0.045
3,Low,freq6,0.005
3,Low,freq7,0.28
3,Low,freq8,0.105
3,Very Low,freq1,0.2
3,Very Low,freq2,0.10303030303030303
3,Very Low,freq3,0.14545454545454545
3,Very Low,freq4,0.030303030303030304
3,Very Low,freq5,0.04242424242424243
3,Very Low,freq6,0.006060606060606061
3,Very Low,freq7,0.21212121212121213
3,Very Low,freq8,0.09090909090909091
3,NA,freq1,0.23809523809523808
3,NA,freq2,0.047619047619047616
3,NA,freq3,0.07142857142857142
3,NA,freq4,0
3,NA,freq5,0.07142857142857142
3,NA,freq6,0
3,NA,freq7,0.09523809523809523
3,NA,freq8,0.07142857142857142
4,Full,freq1,0.28169014084507044
4,Full,freq2,0.14788732394366197
4,Full,freq3,0.12112676056338029
4,Full,freq4,0.029577464788732393
4,Full,freq5,0.029577464788732393
4,Full,freq6,0.005633802816901409
4,Full,freq7,0.29295774647887324
4,Full,freq8,0.11126760563380282
4,Marginal,freq1,0.31313131313131315
4,Marginal,freq2,0.17676767676767677
4,Marginal,freq3,0.1414141414141414
4,Marginal,freq4,0.050505050505050504
4,Marginal,freq5,0.04040404040404041
4,Marginal,freq6,0.030303030303030304
4,Marginal,freq7,0.3181818181818182
4,Marginal,freq8,0.1414141414141414
4,Low,freq1,0.24472573839662448
4,Low,freq2,0.12236286919831224
4,Low,freq3,0.10548523206751055
4,Low,freq4,0.02531645569620253
4,Low,freq5,0.05063291139240506
4,Low,freq6,0.008438818565400843
4,Low,freq7,0.25316455696202533
4,Low,freq8,0.08438818565400844
4,Very Low,freq1,0.2727272727272727
4,Very Low,freq2,0.14285714285714285
4,Very Low,freq3,0.16883116883116883
4,Very Low,freq4,0.05194805194805195
4,Very Low,freq5,0.05844155844155844
4,Very Low,freq6,0.025974025974025976
4,Very Low,freq7,0.2987012987012987
4,Very Low,freq8,0.08441558441558442
4,NA,freq1,0.1794871794871795
4,NA,freq2,0.10256410256410256
4,NA,freq3,0.1282051282051282
4,NA,freq4,0
4,NA,freq5,0.05128205128205128
4,NA,freq6,0
4,NA,freq7,0.23076923076923078
4,NA,freq8,0.1282051282051282
6,Full,freq1,0.21521335807050093
6,Full,freq2,0.12987012987012986
6,Full,freq3,0.05194805194805195
6,Full,freq4,0.00927643784786642
6,Full,freq5,0.00927643784786642
6,Full,freq6,0.0037105751391465678
6,Full,freq7,0.15769944341372913
6,Full,freq8,0.13172541743970315
6,Marginal,freq1,0.26136363636363635
6,Marginal,freq2,0.13636363636363635
6,Marginal,freq3,0.09090909090909091
6,Marginal,freq4,0.03409090909090909
6,Marginal,freq5,0.011363636363636364
6,Marginal,freq6,0
6,Marginal,freq7,0.26136363636363635
6,Marginal,freq8,0.125
6,Low,freq1,0.1875
6,Low,freq2,0.0875
6,Low,freq3,0.0125
6,Low,freq4,0.0125
6,Low,freq5,0
6,Low,freq6,0
6,Low,freq7,0.1625
6,Low,freq8,0.075
6,Very Low,freq1,0.2222222222222222
6,Very Low,freq2,0
6,Very Low,freq3,0.1111111111111111
6,Very Low,freq4,0
6,Very Low,freq5,0
6,Very Low,freq6,0
6,Very Low,freq7,0.1111111111111111
6,Very Low,freq8,0
6,NA,freq1,0.2127659574468085
6,NA,freq2,0.0851063829787234
6,NA,freq3,0.02127659574468085
6,NA,freq4,0
6,NA,freq5,0
6,NA,freq6,0
6,NA,freq7,0.1276595744680851
6,NA,freq8,0.10638297872340426
7,Full,freq1,0.3076923076923077
7,Full,freq2,0.16153846153846155
7,Full,freq3,0.09230769230769231
7,Full,freq4,0.06153846153846154
7,Full,freq5,0.06153846153846154
7,Full,freq6,0.007692307692307693
7,Full,freq7,0.2923076923076923
7,Full,freq8,0.17692307692307693
7,Marginal,freq1,0.39473684210526316
7,Marginal,freq2,0.18421052631578946
7,Marginal,freq3,0.13157894736842105
7,Marginal,freq4,0.02631578947368421
7,Marginal,freq5,0.05263157894736842
7,Marginal,freq6,0.02631578947368421
7,Marginal,freq7,0.4473684210526316
7,Marginal,freq8,0.18421052631578946
7,Low,freq1,0.2777777777777778
7,Low,freq2,0.3333333333333333
7,Low,freq3,0.2222222222222222
7,Low,freq4,0.05555555555555555
7,Low,freq5,0.05555555555555555
7,Low,freq6,0
7,Low,freq7,0.3888888888888889
7,Low,freq8,0.2222222222222222
7,Very Low,freq1,0.38461538461538464
7,Very Low,freq2,0.19230769230769232
7,Very Low,freq3,0.34615384615384615
7,Very Low,freq4,0.038461538461538464
7,Very Low,freq5,0
7,Very Low,freq6,0.038461538461538464
7,Very Low,freq7,0.38461538461538464
7,Very Low,freq8,0.23076923076923078
7,NA,freq1,0.1111111111111111
7,NA,freq2,0
7,NA,freq3,0
7,NA,freq4,0
7,NA,freq5,0
7,NA,freq6,0
7,NA,freq7,0.1111111111111111
7,NA,freq8,0
